"";"RMSE";"Rsquared";"Resample";"n_vars"
"131";1241,9803920623;0,00278186616663915;"Fold1.Rep12";2
"132";4062,63392803156;0,00824959174394643;"Fold2.Rep12";2
"133";1453,34123074111;0,00120813746075689;"Fold3.Rep12";2
"134";1163,58339258991;0,00397418508277374;"Fold4.Rep12";2
"135";2737,76838426156;1,00919144985931e-05;"Fold5.Rep12";2
"136";1265,31662391289;0,00628114727518431;"Fold1.Rep13";2
"137";2947,70263928559;0,0233441425755228;"Fold2.Rep13";2
"138";1996,07756699463;4,25347445940789e-06;"Fold3.Rep13";2
"139";2150,9847651866;0,0013034907603297;"Fold4.Rep13";2
"140";3177,02301788513;0,000100710775108462;"Fold5.Rep13";2
"141";3056,00907144592;1,13047113909004e-06;"Fold1.Rep14";2
"142";2194,02333460948;0,000103502872003075;"Fold2.Rep14";2
"143";2943,40953332159;0,020973860015993;"Fold3.Rep14";2
"144";2182,21680689253;0,00133022685005816;"Fold4.Rep14";2
"145";1194,59233370982;0,00671804883913284;"Fold5.Rep14";2
"146";3053,0415526043;0,000125426065152579;"Fold1.Rep15";2
"147";2017,21028178297;0,000653697485742422;"Fold2.Rep15";2
"148";2184,95618920104;0,000945451888997796;"Fold3.Rep15";2
"149";2948,42833927705;0,013871050586576;"Fold4.Rep15";2
"150";1467,696849157;0,000817072388777856;"Fold5.Rep15";2
"151";2196,88366961514;0,00162339664120971;"Fold1.Rep01";3
"152";1191,86702205437;0,00990966860439833;"Fold2.Rep01";3
"153";4118,88127555545;0,00235313910971664;"Fold3.Rep01";3
"154";1201,2195381223;0,0141543169218976;"Fold4.Rep01";3
"155";2074,12895667503;0,00232394781925954;"Fold5.Rep01";3
"156";2231,74574669316;0,00489721362531142;"Fold1.Rep02";3
"157";3171,00562590824;5,12103184864721e-07;"Fold2.Rep02";3
"158";1156,78657738642;0,00410897021699304;"Fold3.Rep02";3
"159";2009,72314653152;0,0028673520323754;"Fold4.Rep02";3
"160";2926,00239434899;0,0149362892776474;"Fold5.Rep02";3
"161";2245,44516560311;0,00223144333801014;"Fold1.Rep03";3
"162";1316,84927167955;0,00698663934371365;"Fold2.Rep03";3
"163";4104,60863523425;0,00309681574077137;"Fold3.Rep03";3
"164";1146,98295099214;0,0123605912972186;"Fold4.Rep03";3
"165";2000,65772475771;0,00327508876601083;"Fold5.Rep03";3
"166";3329,10531033687;0,0103279966472934;"Fold1.Rep04";3
"167";1406,26058693504;0,0033815019969461;"Fold2.Rep04";3
"168";1111,88490071674;0,00373752445824678;"Fold3.Rep04";3
"169";2222,45803390989;0,00501406820613179;"Fold4.Rep04";3
"170";3125,39528125416;1,79347085652332e-05;"Fold5.Rep04";3
"171";3050,77296645077;1,79849537420934e-05;"Fold1.Rep05";3
"172";2924,89687673553;0,0169258512565185;"Fold2.Rep05";3
"173";2351,75115336084;0,0026971484088924;"Fold3.Rep05";3
"174";2030,9870714062;0,00360716276533266;"Fold4.Rep05";3
"175";1204,2495927483;0,0106167199634298;"Fold5.Rep05";3
"176";1073,52570455615;0,0131949252374206;"Fold1.Rep06";3
"177";3427,26523952037;0,011019189535719;"Fold2.Rep06";3
"178";2176,74458579242;0,00381810642377948;"Fold3.Rep06";3
"179";1242,47066690067;0,00200063678761608;"Fold4.Rep06";3
"180";3129,6600381787;1,15526570147832e-06;"Fold5.Rep06";3
"181";2913,10181707255;0,00993872394052812;"Fold1.Rep07";3
"182";3523,4293447302;0,000310099359295385;"Fold2.Rep07";3
"183";2162,41624593543;0,00137689566209846;"Fold3.Rep07";3
"184";1345,71099040693;0,00688449555228427;"Fold4.Rep07";3
"185";1263,16691975172;0,00394014762514831;"Fold5.Rep07";3
"186";3042,96989452053;1,66289219425086e-06;"Fold1.Rep08";3
"187";1485,28636180213;0,00614010494201725;"Fold2.Rep08";3
"188";3516,66992375401;0,0141945075270463;"Fold3.Rep08";3
"189";1938,81318402658;0,000986472753156862;"Fold4.Rep08";3
"190";1182,48339062999;0,0121315601940276;"Fold5.Rep08";3
"191";3534,24503769506;0,00822786267987404;"Fold1.Rep09";3
"192";3466,19917529571;2,52650208383335e-05;"Fold2.Rep09";3
"193";1388,82717681671;0,00412407227959812;"Fold3.Rep09";3
"194";1172,92376521641;0,0121898538321245;"Fold4.Rep09";3
"195";1085,09194859928;0,00492646642535391;"Fold5.Rep09";3
"196";4130,50970436867;0,00277596187048862;"Fold1.Rep10";3
"197";1987,10173011236;0,00332255861161776;"Fold2.Rep10";3
"198";1103,06753658905;0,0123508477307566;"Fold3.Rep10";3
"199";2178,91818840989;0,00214558518437069;"Fold4.Rep10";3
"200";1408,44751021445;0,00525028934575832;"Fold5.Rep10";3
"201";1362,19601897861;0,00723169251568124;"Fold1.Rep11";3
"202";3106,19384223557;6,28965608105829e-07;"Fold2.Rep11";3
"203";1167,55242999751;0,012174530505683;"Fold3.Rep11";3
"204";1253,3050078211;0,00563904155637462;"Fold4.Rep11";3
"205";3813,0358403539;0,00837074192586337;"Fold5.Rep11";3
"206";1225,60587445759;0,00662563178719596;"Fold1.Rep12";3
"207";2073,56835146814;0,00643290884548018;"Fold2.Rep12";3
"208";1235,72237505903;0,009159689774397;"Fold3.Rep12";3
"209";2995,55996175056;0,0159575628041756;"Fold4.Rep12";3
"210";3556,10038978545;3,17887080113767e-06;"Fold5.Rep12";3
"211";1319,09750613159;0,00720225753696122;"Fold1.Rep13";3
"212";3075,32714668255;2,64122077315471e-05;"Fold2.Rep13";3
"213";3535,60205025423;0,00964968212294091;"Fold3.Rep13";3
"214";1147,71094197857;0,00614040633904424;"Fold4.Rep13";3
"215";1988,59147916867;0,009359822847342;"Fold5.Rep13";3
"216";4056,91389924261;0,0012032890641303;"Fold1.Rep14";3
"217";1218,05229680734;0,00696406788086969;"Fold2.Rep14";3
"218";2026,06463985418;0,00404719460012532;"Fold3.Rep14";3
"219";2269,72789269853;0,00237829115876684;"Fold4.Rep14";3
"220";1334,59258770065;0,0024131877918769;"Fold5.Rep14";3
"221";4072,64027540062;0,00247977114964795;"Fold1.Rep15";3
"222";2757,71817476065;0,00232400116849157;"Fold2.Rep15";3
"223";1267,28512934027;0,00629096100691509;"Fold3.Rep15";3
"224";1195,75644351252;0,00577178289355859;"Fold4.Rep15";3
"225";1314,46198268698;0,00807514698042325;"Fold5.Rep15";3
"226";3064,76185718221;0,0109748295593144;"Fold1.Rep01";4
"227";1257,07421061852;0,015079799156123;"Fold2.Rep01";4
